  name  ra         dec
  99    112.183783314962     41.5281573794868
  9a    113.391124222622     41.9274351173455
  9b    114.247842647781     41.9771152883874
  9c    114.933191740952     42.0437178646725
  9d    352.561937821439     26.6406794881823
  9e    342.547206333145     2.97224779076786
  9f    248.277934726472     33.3280464396366
  a0    201.808791087668     39.6140742151347
  a1    196.023286506962     40.2810456703133
  a2    353.244437702681     20.8202104806466
  a3    189.157857778929     67.8503836060106
  a4    346.564265767442     0.725990158874702
  a5    164.512059454753     22.6015993157672
  a6    315.149380069905     0.0762002996480221
  a7    317.708196407159     0.101474622907279
  a8    324.493041477845     0.189448404986135
  a9    8.71845376193022     2.14580836403722
  aa    1.07187342297905     -4.97355500457508
  ab    235.225925983555     38.1027679798535
  ac    261.124771965681     64.3514364717191
  ad    187.338685155268     22.3184841802155
  ae    52.2995527410822     -7.72751645654465
  af    58.7386982276594     -7.00880288328635
  b0    216.556924249835     19.1140784537905
  b1    187.520095414409     22.2522698596095
  b2    199.58814207437      63.7866524916673
  b3    122.680695596589     19.7862754008625
  b4    183.570841688465     42.2436959253223
  b5    192.536404488377     41.8951185558869
  b6    126.284381679543     52.6151368029981
  b7    159.894307327402     -2.90302818672705
  b8    226.304335120476     51.1810138559768
  b9    150.681277976198     20.9343418229736
  ba    205.624723506956     21.0248726566921
  bb    5.53418243976631     9.5646911589667
  bc    207.503598554618     27.0583407502916
  bd    222.363533801496     43.2788981020643
  be    179.71826283699      49.8798096933022
  bf    180.988504109478     64.0614024914294
  c0    183.604370767911     40.918767416011
  c1    167.981771143517     39.8033005712628
  c2    186.510582193045     40.8993949489309
  c3    359.338405305119     4.57195320364233
  c4    25.5964133800967     4.43611290094627
  c5    193.021407986259     46.3924499909192
  c6    116.662350182954     49.7290217514752
  c7    220.857372694406     14.8934249370475
  c8    223.500940601388     14.44898692928
  c9    18.5405202488756     2.52989018822639
  ca    196.765306405976     46.9712185749827
  cb    228.374726083905     38.6140389486363
  cc    221.075898275937     0.854017854614218
  cd    221.541176803299     1.01023269744037
  ce    201.184168078786     25.6656843367529
  cf    209.227973331083     58.5271582600151
  d0    45.8330021214239     0.699131032070847
  d1    336.712660047114     0.983429833173708
  d2    48.2372098289186     -8.35463347286866
  d3    56.6418413863277     -7.18088014733536
  d4    95.6501390802118     1.27808237602405
  d5    20.1836574838114     11.5342305649073
  d6    230.438036659481     46.3305264331734
  d7    171.16305384731      -1.29649621614986
  d8    38.4407789951147     -4.06712723896381
  d9    232.25468477453      44.1875876682474
  da    115.35864831669      42.2585414112808
  db    126.76740101311      30.7738415142138
  dc    346.173456324247     20.2801356821155
  dd    346.192897338854     20.2018571641778
  de    354.740224427626     20.9764413469979
  df    38.1636275116683     2.26249129276985
  e0    183.950176615283     5.20910825759031
  e1    118.403340786368     18.2839611288884
  e2    222.436387524397     18.1209946577554
  e3    151.23750031297      23.3272287932825
  e4    136.648484263554     18.9368099799242
  e5    62.5878799624532     15.7707983756254
  e6    234.236404919721     38.4344052714257
  e7    239.751755699149     35.2596478055095
  e8    241.432416013884     34.0664324392629
  e9    245.629941346186     30.9297437288282
  ea    207.486945672492     27.8299927937264
  eb    19.164345641829      32.8884839900178
  ec    349.526511055704     0.770144954695286
  ed    165.526506939905     22.6969602068952
  ee    146.701095751755     34.2464991599426
  ef    197.906530757014     35.7891109036767
  f0    229.404309005267     9.84698642608132
  f1    217.330598458291     40.1576975639325
  f2    146.503234654182     15.6639080222576
  f3    122.361136976237     57.1593641310137
  f4    149.003182606282     69.8285863091366
  f5    143.032156960482     56.1530373416531
  f6    58.8352583076354     -6.82599754345194
  f7    135.030653928078     36.5077293790118
  f8    232.041357446781     39.6975050197198
  f9    222.549863609674     24.368159872357
  fa    222.44710675067      24.2285572796322
  fb    195.305735550479     46.2423083496641
  fc    207.07983931481      66.2132800970668
  fd    167.937035605474     23.0530974994335
  fe    158.083079516499     21.6230369379367
  ff    317.322908806882     0.13225683901089
  100   323.86972585673      0.0880492409494429
  101   323.940230260255     0.119795115924232
  102   195.659243859149     21.807100033562
  103   198.87044678535      63.9062944880666
  104   126.869063076414     21.429360851072
  105   244.705915956566     51.8504284693741
  106   112.329855067228     41.6679987178225
  107   345.813235700556     19.7100645294306
  108   111.549584773724     41.4048372668831
  109   124.854065423805     29.3733683434046
